GENEID	HN-score(HN5)
Os01g0137266	-5
Os01g0137282	-12
Os01g0137300	7
Os01g0137400	-7
Os01g0137500	0
Os01g0137550	8
Os01g0137700	10
Os01g0137750	0
Os01g0137800	-5
Os01g0137875	-12
Os01g0137950	-35
Os01g0138000	10
Os01g0138100	-17
Os01g0138232	0
Os01g0138300	-19
Os01g0138350	-6
Os01g0138400	22
Os01g0138451	7
Os01g0138500	-13
Os01g0138600	7
Os01g0138800	1
Os01g0138900	-14
Os01g0139000	-11
Os01g0139200	-1
Os01g0139600	14
Os01g0139700	-15
Os01g0139900	-6
Os01g0140100	-11
Os01g0140400	-4
Os01g0140500	-10
Os01g0140700	-30
Os01g0141000	-2
Os01g0141100	-3
Os01g0141150	-13
Os01g0141300	-1
Os01g0141450	-2
Os01g0141600	-3
Os01g0141700	2
Os01g0141900	3
Os01g0142100	-1
Os01g0142200	4
Os01g0142300	-1
Os01g0142500	-1
Os01g0142600	1
Os01g0142800	-7
Os01g0142875	1
Os01g0142950	10
Os01g0143100	-2
Os01g0143300	9
Os01g0143350	6
Os01g0143400	0
Os01g0143700	1
Os01g0143750	0
Os01g0143800	-3
Os01g0143900	-2
Os01g0144000	3
Os01g0144100	13
Os01g0144200	7
Os01g0144300	9
Os01g0144340	12
Os01g0144380	0
Os01g0144500	9
Os01g0144600	-1
Os01g0144700	-5
Os01g0144800	33
Os01g0144900	-3
Os01g0145000	-6
Os01g0145200	-2
Os01g0145600	-12
Os01g0146101	-2
Os01g0146200	1
Os01g0146600	-5
Os01g0146801	1
Os01g0147001	-4
Os01g0147200	5
Os01g0147250	10
Os01g0147300	16
Os01g0147400	-3
Os01g0147600	-2
Os01g0147650	18
Os01g0147700	9
Os01g0147800	3
Os01g0147850	12
Os01g0147900	5
Os01g0147950	11
Os01g0148000	9
Os01g0148050	6
Os01g0148100	0
Os01g0148200	0
Os01g0148400	-2
Os01g0148500	-2
Os01g0148700	1
Os01g0149200	26
Os01g0149350	1
Os01g0149400	5
Os01g0149500	10
Os01g0149600	6
Os01g0149700	14
Os01g0149750	3
Os01g0149800	34
Os01g0149900	-1
Os01g0150000	-5
Os01g0150100	4
Os01g0150200	-4
Os01g0150400	-11
Os01g0150500	0
Os01g0150700	-5
Os01g0150800	2
Os01g0150900	-1
Os01g0150950	6
Os01g0151100	1
Os01g0151200	-4
Os01g0151400	-9
Os01g0151500	-10
Os01g0151600	-1
Os01g0151700	-3
Os01g0151750	18
Os01g0151900	7
Os01g0152000	-5
Os01g0152050	-1
Os01g0152100	-1
Os01g0152200	0
Os01g0152300	-2
Os01g0152500	4
Os01g0152600	7
Os01g0152675	7
Os01g0152687	6
Os01g0152700	-4
Os01g0152800	13
Os01g0152850	9
Os01g0152900	3
Os01g0152950	-2
Os01g0152951	14
Os01g0153000	10
Os01g0153050	10
Os01g0153100	7
Os01g0153150	0
Os01g0153200	27
Os01g0153250	6
Os01g0153275	5
Os01g0153300	0
Os01g0153400	11
Os01g0153500	3
Os01g0153550	0
Os01g0153600	-15
Os01g0153625	1
Os01g0153700	1
Os01g0153800	6
Os01g0153900	0
Os01g0153950	0
Os01g0154000	28
Os01g0154100	0
Os01g0154200	32
Os01g0154250	0
Os01g0154300	3
Os01g0154500	0
Os01g0154550	1
Os01g0154600	1
Os01g0154950	0
Os01g0155000	0
Os01g0155200	-5
Os01g0155300	-12
Os01g0155400	10
Os01g0155500	-10
Os01g0155600	3
Os01g0155800	-16
Os01g0156000	-1
Os01g0156300	2
Os01g0157200	17
Os01g0157400	6
Os01g0157500	15
Os01g0157600	5
Os01g0157700	2
Os01g0157800	6
Os01g0157900	-4
Os01g0158000	6
Os01g0158100	-5
Os01g0158200	2
Os01g0158400	-7
Os01g0158500	3
Os01g0158533	-1
Os01g0158566	4
Os01g0158600	-14
Os01g0158800	3
Os01g0158900	0
Os01g0159000	4
Os01g0159200	-30
Os01g0159250	-23
Os01g0159300	1
Os01g0159400	7
Os01g0159500	0
Os01g0159600	8
Os01g0159800	13
Os01g0160100	38
Os01g0160150	17
Os01g0160200	1
Os01g0160700	2
Os01g0160800	36
Os01g0161000	-8
Os01g0161200	-2
Os01g0161300	-8
Os01g0162001	-3
Os01g0162101	0
Os01g0162200	-1
Os01g0162300	4
Os01g0162400	-4
Os01g0162500	6
Os01g0162701	1
Os01g0162800	1
Os01g0162900	-3
Os01g0163000	11
Os01g0163450	3
Os01g0163616	0
Os01g0164075	1
Os01g0164300	1
Os01g0164400	5
Os01g0164500	6
Os01g0164600	-5
Os01g0164650	6
Os01g0164700	2
Os01g0164800	9
Os01g0164900	12
Os01g0165000	6
Os01g0165100	11
Os01g0165200	8
Os01g0165600	-31
Os01g0165800	3
Os01g0166100	-2
Os01g0166200	-3
Os01g0166300	-15
Os01g0166400	-20
Os01g0166500	-7
Os01g0166700	-3
Os01g0166800	2
Os01g0167100	5
Os01g0167400	7
Os01g0167500	-1
Os01g0167600	2
Os01g0167700	0
Os01g0167750	4
Os01g0167800	13
Os01g0167900	2
Os01g0168000	19
Os01g0168100	2
Os01g0168200	-1
Os01g0168300	1
Os01g0168350	-4
Os01g0168400	-10
Os01g0168450	3
Os01g0168500	0
Os01g0168600	2
Os01g0168800	-19
Os01g0168850	-5
Os01g0169000	-7
Os01g0169400	-1
Os01g0169500	9
Os01g0169800	0
Os01g0169900	-4
Os01g0170000	30
Os01g0170051	28
