GENEID	HN5
Os12g0610800	-48
Os11g0413800	-49
Os04g0127100	-49
Os01g0680650	-49
Os06g0539500	-49
Os10g0528300	-49
Os04g0316200	-49
Os10g0180800	-49
Os05g0482400	-49
Os02g0191800	-49
Os07g0561800	-49
Os02g0136933	-49
Os07g0129200	-49
Os01g0854800	-50
Os04g0339800	-50
Os06g0254600	-50
Os01g0795000	-50
Os01g0232000	-50
Os01g0382000	-50
Os11g0210600	-50
Os01g0329075	-50
Os06g0316000	-50
Os01g0279400	-50
Os01g0627400	-50
Os01g0357200	-50
Os02g0684500	-50
Os12g0472500	-51
Os03g0833100	-51
Os11g0687100	-51
Os10g0556000	-51
Os06g0699100	-51
Os03g0261100	-51
Os04g0400000	-51
Os02g0207100	-51
Os12g0630100	-51
Os07g0257200	-51
Os07g0687400	-51
Os11g0161200	-51
Os07g0524900	-51
Os12g0505800	-51
Os08g0462900	-52
Os11g0170900	-52
Os04g0609500	-52
Os08g0102250	-52
Os06g0210000	-52
Os02g0608000	-52
Os10g0576600	-52
Os06g0192100	-52
Os04g0612301	-52
Os07g0124900	-52
Os01g0284500	-52
Os10g0489500	-53
Os06g0228500	-53
Os08g0346900	-53
Os05g0106200	-53
Os10g0472900	-53
Os04g0644433	-53
Os05g0519300	-53
Os12g0101901	-53
Os02g0571100	-53
Os01g0550800	-53
Os02g0780000	-53
Os05g0201700	-53
Os02g0570700	-53
Os07g0624600	-53
Os09g0519100	-53
Os10g0148100	-54
Os11g0641500	-54
Os12g0571400	-54
Os05g0360400	-54
Os06g0473000	-54
Os03g0418000	-55
Os02g0718950	-55
Os09g0249750	-55
Os07g0693800	-55
Os10g0570200	-55
Os01g0796000	-55
Os08g0101100	-55
Os04g0121100	-55
Os10g0527601	-55
Os08g0111200	-55
Os12g0555000	-56
Os04g0666800	-56
Os03g0400200	-56
Os12g0555300	-56
Os11g0649500	-56
Os02g0779400	-57
Os06g0549300	-57
Os01g0329000	-57
Os06g0560000	-57
Os02g0308400	-57
Os11g0592200	-57
Os09g0325000	-58
Os05g0153500	-58
Os02g0121700	-59
Os10g0456100	-60
Os01g0105300	-60
Os10g0150700	-60
Os01g0591300	-60
Os02g0240300	-60
Os09g0424401	-60
Os12g0630200	-61
Os04g0493400	-61
Os02g0563000	-61
Os07g0142300	-61
Os01g0248300	-62
Os03g0439800	-62
Os03g0237100	-62
Os09g0130300	-62
Os04g0307500	-62
Os05g0113900	-63
Os02g0616100	-63
Os09g0472700	-64
Os04g0494100	-64
Os09g0451400	-64
Os10g0552800	-64
Os05g0128900	-64
Os04g0587500	-64
Os01g0179600	-65
Os02g0226200	-65
Os07g0524200	-65
Os03g0371000	-66
Os09g0275400	-66
Os12g0191601	-67
Os07g0190000	-67
Os03g0751200	-67
Os01g0887550	-68
Os09g0129500	-68
Os03g0651800	-68
Os06g0518100	-68
Os08g0347000	-69
Os10g0165300	-70
Os12g0555500	-70
Os03g0180800	-70
Os01g0216000	-70
